Category,Brand_Name,Product Name,Price,Actual Price,Weight/Quantity,Offer,Ratings,Description,Image_url
Buy Fruits and Vegetables Online,fresho!,Tomato - Cherry,₹320.66,₹421.92,1 kg,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Local tomatoes are partly sour and partly sweet and contain many seeds inside which are edible. The red colour present in tomatoes is due to lycopene, an antioxidant. Do not forget to check out our delicious recipe-",https://www.bigbasket.com/media/uploads/p/l/1228332_1-fresho-tomato-local.jpg
Buy Fruits and Vegetables Online,fresho!,Cucumber (Loose),₹5.5,₹19.18,500 g,71% OFF,10,"Cucumber, a humble yet ubiquitous vegetable in Indian cuisine, plays a refreshing role in culinary traditions across the country. Sliced thinly or diced, its crisp texture and mild flavour make it a staple in salads, yoghurt-based raitas, and sandwiches. In warm climates, cucumber's cooling properties are particularly valued, offering relief from the heat when served chilled or incorporated into refreshing beverages like cucumber-lime juice. Its versatility extends beyond the kitchen; cucumber slices are often used in traditional beauty treatments to cool and soothe the skin. In Indian households, this unassuming vegetable is celebrated for its simplicity and ability to complement a wide array of dishes. With high water content and crunchy flesh, cucumbers have striped light to dark green coloured skin that is edible.Don't forget to check out our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/10000103_17-fresho-cucumber.jpg
Buy Fruits and Vegetables Online,fresho!,"Palak - Cleaned, without roots",₹6.58,₹8.22,100 g,20% OFF,10,"fresho! Palak, meticulously cleaned and root-free ensures convenience without compromising on freshness or flavour. Packed with vibrant green leaves, it's perfect for creating wholesome dishes bursting with nutrients. Don't forget to check out our delicious recipe -",https://www.bigbasket.com/media/uploads/p/l/20000979_13-fresho-palak-cleaned-without-roots.jpg
Buy Fruits and Vegetables Online,fresho!,Cauliflower - Organically Grown,₹31.78,₹39.73,5 kg,20% OFF,30,"In the rich tapestry of Indian cuisine, cauliflower holds a cherished place as a versatile and widely used vegetable. Known as ""Gobi"" in Hindi, it features prominently in various regional dishes. From the iconic Punjabi favourite ""Aloo Gobi"" (potato and cauliflower curry) to the spicy Maharashtrian ""Gobi Masala,"" it adapts seamlessly to different cooking styles and flavours. Cauliflower is also enjoyed battered and fried as ""Gobi Pakoras"" or as a delicious addition to biryanis and pulavs. Its ability to absorb spices and its unique texture make it a beloved ingredient, offering a hearty and satisfying element to Indian meals.Don't forget to check out our delicious fruit recipe:https://www.bigbasket.com/cookbook/recipes/2144/cauliflower-cheese-pancakes/",https://www.bigbasket.com/media/uploads/p/l/10000074_20-fresho-cauliflower.jpg
Buy Fruits and Vegetables Online,fresho!,Banana - Yelakki,₹17.54,₹21.92,250 g,20% OFF,5,"Yellakki bananas, also known as Elaichi bananas, are a small and flavourful variety cultivated primarily in South India. They're renowned for their sweet taste, thin skin, and unique cardamom-like aromatic flavour, hence the name Elaichi, meaning cardamom in Hindi. These bananas are typically consumed fresh, but they're also used in a variety of culinary applications, such as baking or in smoothies. They are a popular choice for making banana crisps due to their firm texture. The Elaichi banana's small size, combined with its rich flavour, makes it a delightful, portable snack perfect for on-the-go consumption.Don't forget to check out our delicious fruit recipe -https://www.bigbasket.com/cookbook/recipes/573/banana-pancake/",https://www.bigbasket.com/media/uploads/p/l/10000033_26-fresho-banana-yelakki.jpg
Buy Fruits and Vegetables Online,fresho!,Potato,₹144.4,₹190,5 kg,24% OFF,20,"With ruby color and an intense floral, sweet-tart flavor, the pomegranate delivers both taste and beauty.You can remove the skin and the membranes to get at the delicious fruit with nutty seeds.Fresho Pomegranates are finely sorted and graded to deliver the best tasting pomegranates to you.Do not forget to check our delicious fruit recipe -https://www.bigbasket.com/cookbook/recipes/1229/pomegranate-cooler/",https://www.bigbasket.com/media/uploads/p/l/40120006_6-fresho-pomegranate-small.jpg
Buy Fruits and Vegetables Online,fresho!,Capsicum - Green (Loose),₹78.9,₹98.63,1 kg,20% OFF,40,"Green capsicum, known as bell pepper, is a versatile vegetable widely used in Indian cuisine. Its crisp texture and mild, slightly bitter flavour make it a favourite in curries, stir-fries, and salads across the country. In dishes like Paneer Tikka or Mixed Vegetable Sabzi, diced capsicum adds colour and enhances the overall taste. It is also a key ingredient in Indo-Chinese dishes like chilli paneer or vegetable Manchurian, where its crunchiness complements spicy sauces. Grown in various regions of India, green capsicum's popularity highlights its integration into both traditional and modern Indian cooking, prized for its culinary adaptability.Don't forget to check out our delicious recipe athttps://www.bigbasket.com/cookbook/recipes/2031/capsicum-cheese-rings/.",https://www.bigbasket.com/media/uploads/p/l/10000067_26-fresho-capsicum-green.jpg
Buy Fruits and Vegetables Online,fresho!,Dasheri Mango,₹127.12,₹158.9,1 kg,20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Grown in different parts of Northern India, Dasheri mango is elongated in shape and with a yellow or greenish coloured skin and a sweet yellow pulp.The juicy flesh of this mango is fibreless and is delicious in taste.Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.Click here for delicious fruit recipes -https://www.bigbasket.com/flavors/collections/228/fresh-fruits/Calcium Carbide is not used in the ripening process of the mangoes.",https://www.bigbasket.com/media/uploads/p/l/30001003_4-fresho-dasheri-mango.jpg
Buy Fruits and Vegetables Online,fresho!,Ginger - Organically Grown (Loose),₹20,₹35.62,250 g,44% OFF,15,"Organically grown ginger is a fresh, natural spice. Renowned for its robust, aromatic flavour and numerous health benefits, it is a staple in culinary and medicinal applications. Rich in antioxidants and anti-inflammatory properties, this versatile root enhances dishes, teas, and remedies, promoting wellness and adding zest to your meals.",https://www.bigbasket.com/media/uploads/p/l/50000509_6-fresho-ginger-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,Apple Shimla Bulk Loose,₹200,₹219.18,1 kg - (Approx. 11-12 pcs),20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Royal gala apples are bright red, thin skinned, white fleshed fruits with a mild sweet flavour and are native to New Zealand.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.Click here for delicious fruit recipes -https://www.bigbasket.com/flavors/collections/228/fresh-fruits/",https://www.bigbasket.com/media/uploads/p/l/1203769_1-fresho-apple-shimla-regular.jpg
Buy Fruits and Vegetables Online,fresho!,Tomato - Cherry,₹320.66,₹421.92,1 kg,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Tomato Hybrids are high-quality fruits compared to desi, local tomatoes. They contain numerous edible seeds and are red in colour due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1465/cheesy-tomato-disks/",https://www.bigbasket.com/media/uploads/p/l/1228333_1-fresho-tomato-hybrid.jpg
Buy Fruits and Vegetables Online,fresho!,Beans - Haricot (Loose),₹15,₹50.68,500 g,70% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Haricot beans are small, oval, plump and creamy-white with a mild flavour and a smooth, buttery texture.",https://www.bigbasket.com/media/uploads/p/l/40089741_3-fresho-beans-haricot.jpg
Buy Fruits and Vegetables Online,fresho!,Lemon (Loose),₹183.02,₹228.77,1 kg,20% OFF,60,"Lemon, known as ""nimbu"" in Hindi, is an indispensable ingredient in Indian cuisine, celebrated for its tangy flavour and aromatic zest. Used extensively in both savoury and sweet dishes, lemon juice adds a refreshing acidity that enhances the overall taste. In Indian cooking, it is squeezed over salads, curries, and chaats, imparting a bright and citrusy note. Lemon pickle (""nimbu ka achar"") is a popular condiment enjoyed with meals across the country. Beyond its culinary uses, lemon plays a symbolic role in religious rituals and cultural traditions, representing purity and prosperity in Indian households and festivities. Don't forget to check out our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/10000127_18-fresho-lemon.jpg
Buy Fruits and Vegetables Online,fresho!,Apple - Shimla,₹89,₹171.23,4 pcs - (Approx. 510 to 560 g),48% OFF,20,"Experience the crisp and juicy delight of fresho! Shimla Apple Economy. Handpicked from the pristine orchards of Shimla, these apples boast a perfect balance of sweetness and tartness. Ideal for snacking or baking, they bring a taste of nature's finest to your table, ensuring freshness and quality with every bite.",https://www.bigbasket.com/media/uploads/p/l/40134281_22-fresho-baby-apple-shimla.jpg
Buy Fruits and Vegetables Online,fresho!,Bottle Gourd - Organically Grown (Loose),₹32.28,₹42.47,1 kg,24% OFF,30,"Freshly picked and naturally nutritious, Bottle Gourd offers a crisp, mild flavour perfect for various culinary creations. Grown with care, each gourd promises freshness and quality, ideal for both cooking and juicing. Don't forget to check out our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/20000745_6-fresho-bottle-gourd.jpg
Buy Fruits and Vegetables Online,fresho!,Banana - Robusta,₹46,₹63.01,1 kg,27% OFF,10,"Banana Robusta is one of the most widely consumed banana varieties. These bananas are known for their distinctive, sweet flavours and creamy texture. They have a vibrant yellow skin when ripe, which encases a high-starch content flesh, making them ideal for cooking and baking. Banana Robusta is also a key ingredient in smoothies, desserts, and even savoury dishes. Moreover, they have a longer shelf life compared to other varieties. The Robusta is not just a tasty snack, but also a versatile ingredient that enhances the flavours of many recipes. The Banana Robusta is appreciated for its size, typically larger than other banana species, making it a substantial snack. The variety is also frequently used in for items such as banana chips, banana bread, and baby food due to its consistent texture and sweetness.Don't forget to check out our delicious fruit recipe -https://www.bigbasket.com/cookbook/recipes/1781/banana-smoothie/",https://www.bigbasket.com/media/uploads/p/l/10000027_32-fresho-banana-robusta.jpg
Buy Fruits and Vegetables Online,fresho!,"Orange - Nagpur, Regular (Loose)",₹20.82,₹26.03,500 g,20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Freshly picked directly from Nagpur farms, Fresho Nagpur oranges are sweet and bursting with juice. These are simple to peel and section. Treat your taste buds with this mouth-watering fruit that is sweet and has a distinctive flavour.Do not forget to check our delicious fruit recipe -https://www.bigbasket.com/cookbook/recipes/2315/mango-orange-and-mint-smoothie/",https://www.bigbasket.com/media/uploads/p/l/1222181_1-fresho-orange-nagpur-regular.jpg
Buy Fruits and Vegetables Online,fresho!,"Tomato - Local, Organically Grown (Loose)",₹24.11,₹30.14,500 g,20% OFF,30,"fresho! offers an exquisite range of locally grown organic tomatoes, available at bigbasket. These organic tomatoes are free from harmful pesticides and insecticides, thus they have a very natural and tangy taste attributed to their healthy soil growth. The ripe and firm tomatoes are a delicious addition to any meal.",https://www.bigbasket.com/media/uploads/p/l/40130385_7-fresho-tomato-local-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,Mushrooms - Oyster,₹70.79,₹93.15,5 kg,24% OFF,40,"Button mushrooms are a culinary delight prized for their mild flavour and versatility. Cultivated in environments across states like Maharashtra and Himachal Pradesh, these small, dome-shaped fungi adorn countless dishes, from creamy pastas to fragrant curries. Known for their meaty texture and earthy aroma, button mushrooms are a favourite among health enthusiasts. Rich in protein, vitamins (particularly B vitamins), and minerals such as selenium and potassium, they offer a nutritious addition to diets. Easily sautÃƒÂ©ed, stuffed, or added to soups, button mushrooms reflect India's growing appreciation for health-conscious food choices.Don't forget to check out our delicious recipe athttps://www.bigbasket.com/cookbook/recipes/2061/stuffed-mushrooms/",https://www.bigbasket.com/media/uploads/p/l/10000273_17-fresho-mushrooms-button.jpg
Buy Fruits and Vegetables Online,fresho!,"Chilli - Green, Organically Grown (Loose)",₹7.12,₹8.9,100 g,20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Fresho Organic products are organically grown and handpicked by expert.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",https://www.bigbasket.com/media/uploads/p/l/50000513_3-fresho-chilli-green-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,Beetroot (Loose),₹25.94,₹32.42,500 g,20% OFF,12,"Beetroot, known as ""Chukandar"" in Hindi, is a vibrant root vegetable widely used in Indian cuisine. Its deep red colour and earthy flavour make it a popular ingredient in various dishes, including salads, pickles, and curries. In many Indian households, beetroot is often grated and cooked with spices to create a flavourful side dish. It is also used in chutneys and as a natural colouring agent in recipes. Beetroot can be roasted, boiled, or steamed, and is sometimes incorporated into desserts for its unique taste and colour. Grown in several regions across India, it is a versatile addition to traditional and contemporary meals.Don't forget to check out our delicious recipe -https://www.bigbasket.com/cookbook/recipes/1439/healthy-chukandar-beetroot-laddu/",https://www.bigbasket.com/media/uploads/p/l/10000045_19-fresho-beetroot.jpg
Buy Fruits and Vegetables Online,fresho!,Garlic - Organically Grown (Loose),₹59.18,₹73.97,100 g,20% OFF,30,"Fresho Organic products are organically grown and handpicked by expert.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",https://www.bigbasket.com/media/uploads/p/l/50000508_4-fresho-garlic-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,Onion - Organically Grown (Loose),₹47.89,₹63.01,500 g,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Fresho Organic products are organically grown and handpicked by expert.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",https://www.bigbasket.com/media/uploads/p/l/40050956_4-fresho-onion-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,Broccoli - Florets,₹136.38,₹179.45,250 g,24% OFF,15,"Broccoli, a relatively recent addition to Indian culinary traditions, has gained popularity for its nutritional benefits and versatility in cooking. Known for its dense florets atop thick stalks, it is used in various Indian dishes, from stir-fries and curries to soups and salads. In urban centres and among health-conscious consumers, broccoli has found favour due to its perceived health benefits. Its ability to absorb flavours makes it a versatile ingredient in fusion dishes. Though not traditionally native to India, its adaptation into local cuisines underscores its integration into modern Indian cooking and its growing presence on restaurant menus across the country.Don't forget to check out our delicious recipe -https://www.bigbasket.com/cookbook/recipes/1695/broccoli-masala/",https://www.bigbasket.com/media/uploads/p/l/10000063_21-fresho-broccoli.jpg
Buy Fruits and Vegetables Online,fresho!,Ridge Gourd,₹62,₹86.3,1 kg,28% OFF,10,"Ridge Gourds are long vegetables with a ridged dark green skin and white spongy flesh that contains numerous seeds inside. Ridge gourd, known as ""turai"" or ""turiya"" in Hindi, is a staple vegetable in Indian households. Widely cultivated across India, particularly in states like Maharashtra, Karnataka, and Tamil Nadu, it forms an integral part of the regional cuisines. This versatile vegetable is often used in a variety of dishes, from simple stir-fries to elaborate curries and dals. Its slightly bitter yet refreshing taste pairs well with spices commonly used in Indian cooking. In traditional Indian kitchens, ridge gourd is also valued for its fibrous texture, which adds a unique mouthfeel to the dishes.Don't forget to check our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/10000176_18-fresho-ridge-gourd.jpg
Buy Fruits and Vegetables Online,fresho!,Coriander Leaves - Organically Grown,₹82.5,₹891.78,250 g,91% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Fresho Organic products are organically grown and handpicked by expert.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",https://www.bigbasket.com/media/uploads/p/l/50000487_6-fresho-coriander-leaves-organically-grown.jpg
Buy Fruits and Vegetables Online,fresho!,"Kiwi - Green, Small",₹124.93,₹164.38,5 kg,24% OFF,20,"Indulge in the vibrant essence of Green Kiwi, imported to bring you a taste of freshness and health. Bursting with juicy sweetness and packed with vitamins, each kiwi promises a zesty addition to your daily diet. Whether sliced into salads, blended into smoothies, or simply enjoyed on its own, this fruit delivers a tropical sensation that invigorates the palate with every bite.",https://www.bigbasket.com/media/uploads/p/l/20000911_35-fresho-kiwi-green.jpg
Buy Fruits and Vegetables Online,fresho!,"Methi/Venthaya Keerai - Cleaned, without roots",₹6.58,₹8.22,100 g,20% OFF,30,Methi leaves are a very popular ingredient in Indian dishes that has a bitter taste and strong aroma.Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1749/rice-methi-pakoda/,https://www.bigbasket.com/media/uploads/p/l/10000111_22-fresho-methiventhaya-keerai-cleaned-without-roots.jpg
Buy Fruits and Vegetables Online,fresho!,Cabbage,₹33,₹45.21,1 pc - (approx. 450 to 700 g),27% OFF,30,"Cabbage, known as ""Patta Gobi"" in Hindi, is a versatile vegetable integral to Indian cuisine. It is used in a variety of dishes across different regions, showcasing its adaptability and popularity. In North India, cabbage is often shredded and cooked with spices to make ""Patta Gobi Ki Sabzi,"" a flavourful side dish served with roti or rice. In South India, it may be used in stir-fries or added to coconut-based curries. Cabbage is also pickled or fermented as ""Gobi Ka Achar"" or ""Gobi Ki Kanji,"" respectively, adding tanginess to meals. Its affordability and long shelf life make it a household favourite across India.Don't forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/710/cabbage-chowder/",https://www.bigbasket.com/media/uploads/p/l/10000066_27-fresho-cabbage.jpg
Buy Fruits and Vegetables Online,fresho!,Radish - White (Loose),₹19.73,₹24.66,500 g,20% OFF,5,"Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell.Do not forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/",https://www.bigbasket.com/media/uploads/p/l/10000164_16-fresho-radish-white.jpg
Buy Fruits and Vegetables Online,fresho!,Brinjal - Varikatri (Loose),₹19.5,₹24.38,500 g,20% OFF,45,"One of the bigger varieties, Brinjal Varikatris are egg- shaped with white-purple stripes on the shiny skin.The creamy flesh is enjoyably bitter tasting with several small, soft edible seeds.Do not forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/1992/eggplant-grilled-sandwich/",https://www.bigbasket.com/media/uploads/p/l/10000058_21-fresho-brinjal-varikatri.jpg
Buy Fruits and Vegetables Online,fresho!,Potato,₹144.4,₹190,5 kg,24% OFF,30,"The bottle-shaped brinjal, known as ""Bottle Brinjal"" or ""Bottle Gourd Brinjal,"" is a unique variety of eggplant popular in Indian cuisine. Characterized by its elongated, cylindrical shape resembling a bottle gourd, this Brinjal is valued for its mild flavour and tender texture. It is commonly used in various dishes across India, including curries, stir-fries, and stuffed preparations. The Bottle Brinjal absorbs flavours well, making it versatile in different cooking styles. It is often roasted or grilled to enhance its natural sweetness. Grown in many regions of India, this vegetable adds a distinct taste and aesthetic appeal to traditional Indian recipes. Do not forget to check our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/10000054_18-fresho-brinjal-bottle-shape.jpg
Buy Fruits and Vegetables Online,fresho!,Tender Coconut,₹55.9,₹72.6,1 pc - 2.5 - 3.8 kg,23% OFF,10,"In the rich tapestry of Indian cuisine, coconut holds a cherished place as a versatile ingredient. Known as ""Nariyal,"" it is integral to regional dishes across the subcontinent. Coconut's sweet, nutty flavour and creamy texture feature prominently in both savoury and sweet preparations. From coconut chutneys in South India to coconut-based curries in coastal regions, its flesh, milk, and oil enhance dishes with richness and depth. Coconut is also used in desserts like laddoos and barfis, displaying its culinary versatility. Beyond food, coconut plays a cultural role in rituals, festivals, and everyday life, symbolising prosperity, and purity in Indian traditions.Click here for delicious fruit recipes - |",https://www.bigbasket.com/media/uploads/p/l/10000093_17-fresho-coconut-medium.jpg
Buy Fruits and Vegetables Online,fresho!,Coriander Leaves,₹100.82,₹126.03,1 kg,20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Freshly picked directly from farms, fresho! Baby Nagpur oranges are sweet and full of juice. These little oranges are no less than the regular ones in terms of their taste and flavour. They are simple to peel and section. Treat your taste buds with this mouthwatering fruit that is sweet and has a distinctive flavour. Don't forget to check our delicious fruit recipe -https://www.bigbasket.com/cookbook/recipes/2315/mango-orange-and-mint-smoothie/",https://www.bigbasket.com/media/uploads/p/l/40164406_9-fresho-baby-orange-nagpur.jpg
Buy Fruits and Vegetables Online,fresho!,Pear - Green,₹84.33,₹110.96,500 g,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Pears are grown throughout the world, but none matches the ideal growing conditions and climate of the Pacific Northwest states of USA, Washington & Oregon. USA Pears are recognized worldwide for their unsurpassed quality. They are good any time of the day from mid-morning to pre bed time, easy to digest with only 100 calories.Ã‚Â It contains no cholesterol, no sodium, free from saturated fat, an excellent source of fiber and a good source of vitamin C. USA Pears are a good source of potassium, which can help in lowering blood pressure and reduce risk of cancer. They have a large amount of natural fructose and glucose, making them a quick source of healthy energy. USA Pears are ready to eat when they yield to the gentle thumb test.Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",https://www.bigbasket.com/media/uploads/p/l/1202322_1-fresho-pear-green-imported.jpg
